Rectangle Co-ordinates,Centroid,Area,Time
"(496, 107, 371, 523)","(677, 382)",136790.5,1581815903.252646
"(498, 152, 369, 480)","(679, 387)",132492.0,1581815903.2825458
"(496, 156, 371, 476)","(678, 390)",133443.0,1581815903.3144395
"(496, 152, 371, 480)","(679, 387)",132868.0,1581815903.3473284
"(496, 78, 371, 553)","(681, 376)",139437.5,1581815903.3792217
"(504, 151, 363, 480)","(680, 388)",131779.5,1581815903.4151015
"(502, 153, 364, 478)","(679, 387)",132544.5,1581815903.4471183
"(504, 109, 363, 522)","(680, 382)",135025.0,1581815903.4888551
"(506, 152, 361, 480)","(681, 389)",131853.5,1581815903.5177586
"(502, 152, 365, 480)","(679, 388)",132773.0,1581815903.5496533
"(498, 153, 369, 478)","(680, 388)",132324.5,1581815903.5845351
"(496, 91, 371, 541)","(682, 381)",136301.0,1581815903.6144361
"(496, 113, 371, 517)","(678, 383)",136560.5,1581815903.64932
"(503, 112, 364, 520)","(679, 383)",135637.5,1581815903.6832047
"(496, 154, 371, 478)","(678, 388)",133638.5,1581815903.7160947
"(496, 153, 371, 478)","(679, 388)",132677.5,1581815903.7489848
"(500, 153, 367, 478)","(679, 389)",133076.0,1581815903.7829342
"(498, 136, 367, 495)","(680, 386)",133161.0,1581815903.8157613
"(498, 153, 369, 479)","(680, 388)",131737.0,1581815903.8496482
"(498, 154, 369, 477)","(680, 388)",132427.5,1581815903.8865268
"(496, 150, 371, 481)","(678, 386)",134094.5,1581815903.9164388
"(498, 146, 369, 486)","(679, 387)",134093.0,1581815903.9503112
"(496, 152, 371, 479)","(678, 387)",133958.5,1581815903.984198
"(502, 91, 365, 540)","(682, 381)",135652.0,1581815904.0182061
"(498, 108, 369, 524)","(682, 383)",135444.0,1581815904.0521896
"(498, 152, 369, 479)","(679, 388)",132478.0,1581815904.0859723
"(498, 152, 369, 480)","(680, 388)",132937.0,1581815904.117866
"(500, 152, 367, 480)","(679, 388)",132593.5,1581815904.1537647
"(504, 152, 363, 479)","(680, 387)",132055.0,1581815904.1866357
"(496, 148, 371, 483)","(678, 388)",133946.0,1581815904.2195735
"(498, 152, 369, 479)","(680, 388)",132224.0,1581815904.2545106
"(498, 154, 369, 477)","(680, 387)",132308.0,1581815904.2883418
"(498, 124, 367, 507)","(678, 383)",135131.0,1581815904.3203087
"(496, 152, 371, 479)","(679, 388)",133029.0,1581815904.3542955
"(504, 107, 363, 525)","(681, 382)",135368.5,1581815904.3881278
"(498, 153, 369, 479)","(679, 387)",133475.5,1581815904.4209723
"(496, 151, 371, 481)","(679, 388)",133179.5,1581815904.454859
"(496, 152, 371, 479)","(679, 388)",133273.5,1581815904.4888344
"(504, 92, 363, 540)","(682, 379)",136479.5,1581815904.5221376
"(498, 152, 369, 478)","(679, 388)",132499.0,1581815904.5550275
"(500, 152, 367, 480)","(679, 388)",133009.5,1581815904.590296
"(498, 153, 369, 479)","(679, 388)",132856.5,1581815904.6221526
"(500, 148, 367, 482)","(680, 388)",132653.5,1581815904.656973
"(494, 152, 373, 478)","(677, 388)",134427.5,1581815904.6908576
"(498, 147, 369, 485)","(680, 386)",133133.0,1581815904.7247937
"(504, 96, 363, 535)","(682, 381)",135900.5,1581815904.757636
"(494, 109, 373, 522)","(679, 383)",136953.0,1581815904.7915213
"(498, 48, 369, 583)","(679, 374)",139351.5,1581815904.8244557
"(498, 154, 369, 476)","(678, 388)",133830.5,1581815904.8582976
"(506, 153, 361, 479)","(681, 388)",131979.0,1581815904.8931813
"(494, 83, 373, 549)","(680, 380)",137831.5,1581815904.926071
"(504, 148, 363, 483)","(681, 387)",132475.0,1581815904.958981
