x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,time
0.571145,0.661156,0.687567,0.592721,0.753074,0.500053,0.801626,0.416701,0.864318,0.330016,0.657099,0.344722,0.671465,0.220887,0.676304,0.135930,0.676970,0.068017,0.579928,0.347763,0.574118,0.215031,0.563992,0.122067,0.555753,0.041238,0.503793,0.370286,0.481208,0.255240,0.464688,0.162893,0.454174,0.086312,0.432544,0.403867,0.395632,0.308495,0.382462,0.238407,0.376137,0.174255,1572669448524
0.582347,0.667247,0.702271,0.601047,0.766317,0.508130,0.813650,0.421738,0.875906,0.333265,0.666879,0.349460,0.683440,0.228687,0.691428,0.143062,0.696082,0.074473,0.590007,0.352542,0.581571,0.223520,0.571966,0.129484,0.565200,0.047213,0.514152,0.377178,0.488960,0.263792,0.473730,0.171770,0.464689,0.093593,0.443803,0.414282,0.407924,0.317393,0.394916,0.247187,0.387332,0.183045,1572669448640
0.595544,0.678503,0.713632,0.612088,0.776749,0.518043,0.823624,0.433134,0.887359,0.350611,0.677472,0.357032,0.691491,0.237408,0.699969,0.152189,0.705659,0.085371,0.601912,0.360444,0.592620,0.231560,0.583007,0.138710,0.576351,0.058286,0.525855,0.384882,0.501294,0.273681,0.486325,0.181936,0.476541,0.105249,0.454300,0.421909,0.418655,0.328213,0.406102,0.257999,0.399030,0.194470,1572669448757
0.601163,0.688961,0.719151,0.621197,0.786383,0.525729,0.835296,0.441367,0.898974,0.356002,0.687678,0.366713,0.702906,0.248514,0.709375,0.164376,0.713112,0.098009,0.610916,0.371944,0.600578,0.240977,0.589575,0.148198,0.581853,0.069851,0.535032,0.396524,0.508016,0.283021,0.493558,0.192049,0.484716,0.118130,0.463716,0.431219,0.426008,0.337385,0.413708,0.268417,0.407748,0.205885,1572669448875
0.616429,0.696492,0.732150,0.628654,0.796533,0.536573,0.844277,0.454304,0.907821,0.369170,0.701138,0.374073,0.714922,0.257580,0.722697,0.173015,0.726956,0.105825,0.624888,0.378295,0.613396,0.253522,0.603513,0.161107,0.594761,0.081525,0.547795,0.403817,0.522114,0.294938,0.508264,0.204857,0.497219,0.129131,0.475315,0.441581,0.440889,0.348669,0.429672,0.280142,0.421755,0.217433,1572669448991
0.625338,0.708342,0.743047,0.640864,0.806555,0.545435,0.852753,0.463511,0.917411,0.382229,0.709821,0.382860,0.722891,0.267599,0.730265,0.182496,0.733972,0.113957,0.633017,0.386476,0.621617,0.262004,0.611609,0.170655,0.603298,0.090485,0.556034,0.412086,0.531097,0.303418,0.518774,0.213585,0.509513,0.135979,0.484025,0.451599,0.449581,0.360036,0.439267,0.290810,0.432596,0.225838,1572669449110
0.636693,0.725450,0.753307,0.662419,0.819553,0.566493,0.866058,0.481588,0.929210,0.399440,0.722655,0.402938,0.736341,0.287173,0.742835,0.202324,0.744488,0.135920,0.646163,0.406431,0.633918,0.281185,0.624794,0.186297,0.617738,0.107167,0.567984,0.431137,0.540542,0.322540,0.526057,0.231322,0.514019,0.155908,0.494396,0.468154,0.458391,0.378249,0.447334,0.308572,0.438872,0.245010,1572669449223
0.640602,0.733243,0.759108,0.666986,0.822700,0.573674,0.868201,0.490343,0.933120,0.406621,0.729153,0.411988,0.742058,0.293519,0.747726,0.209772,0.748936,0.142428,0.650739,0.415194,0.638832,0.288258,0.629681,0.196337,0.623272,0.115886,0.572638,0.439212,0.547521,0.329870,0.534606,0.240211,0.524874,0.162973,0.500475,0.475281,0.465734,0.384902,0.455885,0.317244,0.448021,0.253862,1572669449341
0.648817,0.746542,0.766861,0.681064,0.830652,0.585873,0.874945,0.501654,0.939767,0.417685,0.736579,0.421841,0.749811,0.304459,0.754991,0.220402,0.755534,0.154002,0.657689,0.425760,0.646888,0.298674,0.636499,0.206708,0.629663,0.126833,0.579453,0.449787,0.555357,0.340538,0.541326,0.251039,0.531071,0.173901,0.506854,0.485968,0.472183,0.394883,0.461172,0.328639,0.453148,0.266430,1572669449456
0.657676,0.764229,0.775039,0.702878,0.836782,0.609205,0.878924,0.524074,0.943757,0.441381,0.746741,0.446564,0.759260,0.332604,0.766019,0.248054,0.767083,0.181108,0.667525,0.450343,0.655112,0.323635,0.646640,0.228160,0.640303,0.148162,0.588569,0.473821,0.562089,0.364989,0.546818,0.273012,0.533397,0.195515,0.514655,0.509475,0.480480,0.418162,0.468942,0.350436,0.459079,0.288001,1572669449573
0.656847,0.774827,0.776409,0.709647,0.841209,0.614087,0.886351,0.532059,0.950779,0.449534,0.745874,0.451559,0.761381,0.333798,0.767898,0.250746,0.770676,0.185226,0.666795,0.455273,0.655813,0.327331,0.646540,0.235611,0.639530,0.156581,0.590058,0.480182,0.565728,0.370045,0.551300,0.280622,0.539399,0.203189,0.519334,0.518183,0.486815,0.426397,0.474967,0.359109,0.465853,0.295701,1572669449691
0.664197,0.793749,0.782759,0.731663,0.845977,0.634582,0.890565,0.549885,0.955044,0.468090,0.753193,0.472724,0.770314,0.357766,0.778849,0.273979,0.783143,0.208813,0.674277,0.475462,0.664578,0.348144,0.658081,0.251795,0.655272,0.173110,0.596048,0.500382,0.570200,0.388432,0.555156,0.298461,0.542794,0.222577,0.523732,0.536917,0.487351,0.443860,0.475272,0.377657,0.467875,0.314394,1572669449807
0.667316,0.803692,0.786983,0.743641,0.850703,0.646719,0.894548,0.563168,0.958229,0.479183,0.757760,0.483407,0.772334,0.364078,0.780789,0.280712,0.784093,0.214857,0.677402,0.488392,0.665649,0.359545,0.657219,0.267468,0.651640,0.185630,0.598553,0.513434,0.572421,0.402595,0.558169,0.313436,0.545610,0.233906,0.526274,0.549447,0.491052,0.457446,0.478698,0.390982,0.470040,0.325654,1572669449943
0.668105,0.817720,0.793009,0.754383,0.854614,0.659914,0.898742,0.576414,0.962561,0.490921,0.761733,0.499128,0.776272,0.379119,0.786092,0.294828,0.789722,0.228750,0.680818,0.502469,0.668902,0.373046,0.661330,0.279677,0.655609,0.197869,0.601534,0.527264,0.575286,0.414897,0.561028,0.324925,0.547582,0.246086,0.528094,0.563077,0.493281,0.469592,0.481730,0.401670,0.472644,0.335822,1572669450059
0.667896,0.838179,0.786693,0.772224,0.852892,0.678264,0.899075,0.593486,0.963547,0.510351,0.763386,0.518216,0.778672,0.398874,0.787957,0.314811,0.789276,0.248026,0.682637,0.519990,0.670988,0.391308,0.664204,0.298414,0.659092,0.219776,0.602571,0.545020,0.576751,0.433848,0.563502,0.343780,0.549842,0.266431,0.527571,0.580767,0.492852,0.488231,0.480258,0.421353,0.470953,0.355985,1572669450174
0.666393,0.855351,0.786374,0.787743,0.854941,0.690524,0.902302,0.605416,0.962595,0.518870,0.761344,0.533516,0.778271,0.410408,0.786944,0.323845,0.788489,0.255818,0.682136,0.536883,0.670024,0.404682,0.664313,0.312138,0.659770,0.233010,0.602869,0.563921,0.575939,0.447594,0.562910,0.359187,0.549933,0.284622,0.530390,0.602627,0.495098,0.508079,0.483339,0.441618,0.477499,0.376474,1572669450289
0.665493,0.883026,0.785001,0.817971,0.855075,0.717317,0.900793,0.629709,0.961629,0.539331,0.762243,0.551300,0.777960,0.433068,0.784943,0.348267,0.784467,0.279171,0.683998,0.554987,0.670206,0.425944,0.663775,0.330305,0.658611,0.251277,0.604374,0.583448,0.576689,0.468184,0.562449,0.376393,0.548159,0.301741,0.530913,0.623231,0.496249,0.532526,0.483428,0.464302,0.475584,0.396737,1572669450406
0.665105,0.902475,0.785035,0.831773,0.853575,0.729211,0.898707,0.639938,0.958429,0.548145,0.758164,0.563674,0.772773,0.447276,0.783943,0.359470,0.787558,0.285893,0.680857,0.566929,0.667175,0.440788,0.662398,0.346826,0.656854,0.263731,0.600708,0.596112,0.571958,0.483067,0.560220,0.392334,0.548913,0.314044,0.525557,0.638325,0.493982,0.547459,0.483291,0.478556,0.479043,0.408275,1572669450524
0.665432,0.915922,0.783953,0.843333,0.857459,0.737974,0.902268,0.648573,0.960001,0.554488,0.753924,0.572845,0.769536,0.457047,0.780969,0.370361,0.786416,0.297613,0.675938,0.576159,0.666900,0.450399,0.662370,0.356631,0.657823,0.273997,0.596237,0.604685,0.569582,0.491266,0.557592,0.400709,0.547560,0.324219,0.520798,0.644648,0.489354,0.554402,0.478613,0.485635,0.474422,0.416628,1572669450639
0.660304,0.935758,0.775772,0.860464,0.845802,0.761243,0.893348,0.675578,0.958109,0.584667,0.750954,0.594039,0.764643,0.476416,0.775177,0.388067,0.779118,0.316981,0.671927,0.597133,0.660593,0.468499,0.654932,0.372297,0.650328,0.292924,0.591495,0.623632,0.563904,0.510129,0.551709,0.418817,0.541577,0.345527,0.515548,0.663105,0.482024,0.571357,0.471696,0.503692,0.468138,0.438113,1572669450757
0.649889,0.954160,0.770169,0.874317,0.841989,0.772909,0.889325,0.686598,0.951474,0.591883,0.743645,0.606569,0.759112,0.489023,0.770256,0.401040,0.773326,0.330403,0.662891,0.609621,0.654116,0.484465,0.649567,0.390185,0.646865,0.309459,0.581011,0.636879,0.557561,0.524382,0.548161,0.436101,0.540339,0.363559,0.503159,0.676627,0.474586,0.585653,0.465802,0.520262,0.463344,0.455753,1572669450875
0.642322,0.967045,0.758709,0.892764,0.835483,0.793480,0.886841,0.708762,0.950393,0.609570,0.735334,0.622634,0.750495,0.508470,0.760098,0.422656,0.760682,0.353479,0.655149,0.626133,0.647846,0.503965,0.642438,0.409568,0.638830,0.332475,0.574746,0.653327,0.550750,0.543003,0.541785,0.454201,0.534030,0.383841,0.499246,0.692546,0.470731,0.603436,0.460217,0.537545,0.454324,0.474540,1572669450992
0.639406,0.968768,0.756991,0.898380,0.834868,0.797270,0.883556,0.716471,0.948510,0.618875,0.731088,0.627825,0.746406,0.516004,0.757040,0.430622,0.758268,0.359341,0.652188,0.632679,0.646677,0.511158,0.641711,0.418242,0.636649,0.341463,0.573990,0.659723,0.548880,0.549692,0.537251,0.462411,0.527329,0.391759,0.500235,0.698357,0.469276,0.610264,0.455915,0.546275,0.446921,0.483360,1572669451106
0.628628,0.975863,0.745968,0.910200,0.825474,0.809707,0.876502,0.727087,0.940636,0.631749,0.722696,0.641209,0.739488,0.527599,0.748893,0.443178,0.748079,0.373043,0.644139,0.643738,0.638968,0.522473,0.635071,0.428849,0.631307,0.350591,0.567007,0.670369,0.542375,0.563072,0.530845,0.474512,0.521169,0.401675,0.494999,0.708488,0.464687,0.623019,0.450579,0.557421,0.441208,0.492570,1572669451226
0.618294,0.991256,0.730499,0.928904,0.808146,0.836831,0.858994,0.751650,0.925277,0.653847,0.711641,0.657620,0.726721,0.542133,0.736309,0.459979,0.737265,0.394585,0.634348,0.659202,0.625874,0.538086,0.622710,0.445325,0.620201,0.368449,0.558689,0.686712,0.530391,0.578247,0.519492,0.491433,0.510260,0.420720,0.486906,0.726903,0.452723,0.638471,0.437267,0.571653,0.426752,0.505210,1572669451342
0.608651,0.999738,0.723836,0.934624,0.804984,0.838742,0.858362,0.753146,0.928920,0.656146,0.702232,0.668602,0.717846,0.554943,0.728443,0.470677,0.727833,0.398961,0.625813,0.670601,0.620693,0.548537,0.617961,0.456323,0.612071,0.379068,0.549728,0.698019,0.524996,0.588104,0.511451,0.497562,0.497831,0.424284,0.477962,0.738207,0.445728,0.648985,0.430652,0.581828,0.418965,0.515840,1572669451456
0.603835,1.009779,0.715531,0.947695,0.787641,0.857837,0.841551,0.773386,0.914131,0.678351,0.692341,0.688140,0.705414,0.566348,0.713469,0.482357,0.715477,0.415367,0.618151,0.689052,0.607641,0.561862,0.602907,0.468250,0.597986,0.389608,0.541229,0.718449,0.512194,0.603164,0.498699,0.513759,0.487877,0.439345,0.470291,0.761320,0.431036,0.664321,0.414257,0.594778,0.402841,0.525833,1572669451575
0.596645,1.020568,0.707327,0.958271,0.779564,0.867428,0.832383,0.780488,0.898246,0.687395,0.681026,0.694684,0.693307,0.577251,0.702109,0.493207,0.704279,0.424451,0.607685,0.698263,0.592679,0.574123,0.589217,0.482724,0.584692,0.404476,0.532718,0.727975,0.502399,0.615061,0.488891,0.525190,0.476670,0.452350,0.461675,0.770755,0.422293,0.677473,0.404125,0.608495,0.390769,0.541523,1572669451691
0.583382,1.027518,0.697967,0.966009,0.774046,0.870217,0.828333,0.784885,0.893504,0.695725,0.668770,0.706619,0.681004,0.588611,0.691221,0.504573,0.691975,0.433889,0.593934,0.712367,0.583340,0.586108,0.581556,0.494163,0.576302,0.416119,0.519471,0.743055,0.492155,0.626347,0.478742,0.533609,0.465662,0.459598,0.451158,0.784029,0.413364,0.689081,0.394987,0.619781,0.379952,0.552428,1572669451805
0.572383,1.027449,0.684589,0.971880,0.755373,0.881983,0.807221,0.798152,0.873590,0.711197,0.654645,0.718371,0.666154,0.599181,0.673755,0.516355,0.676825,0.447362,0.581849,0.723482,0.564117,0.595806,0.560762,0.501538,0.558550,0.421784,0.506526,0.755173,0.475155,0.637033,0.461580,0.543168,0.451674,0.468060,0.438008,0.797780,0.393990,0.701214,0.372144,0.630288,0.354418,0.561120,1572669451923
